Date,TSI_13_25_13
2019-05-15,39.38695765953946
2019-05-16,47.1469470438734
2019-05-17,46.69076103478037
2019-05-18,44.14132003426719
2019-05-19,44.72168821475432
2019-05-20,43.170169329353094
2019-05-21,42.33619415640333
2019-05-22,39.77158508556652
2019-05-23,37.955523263928065
2019-05-24,36.83772588538818
2019-05-25,36.1434574492152
2019-05-26,36.83101979954753
2019-05-27,37.82983948417851
2019-05-28,38.43308024844636
2019-05-29,38.50917626665157
2019-05-30,36.13677353551758
2019-05-31,35.26276991576289
2019-06-01,34.088663647424625
2019-06-02,33.562291748000476
2019-06-03,30.06656405143038
2019-06-04,25.42792176759369
2019-06-05,22.342299743792058
2019-06-06,20.13552428726219
2019-06-07,18.507027279209012
2019-06-08,16.35272498693188
2019-06-09,12.61949710203828
2019-06-10,11.356645434514773
2019-06-11,10.09246219503757
2019-06-12,10.925598384530009
2019-06-13,10.872924647710938
2019-06-14,11.785253515489257
2019-06-15,13.102610444076603
2019-06-16,14.190355624430342
2019-06-17,15.69441045632486
2019-06-18,15.39281081452094
2019-06-19,15.680253722890955
2019-06-20,16.19409867107834
2019-06-21,19.42680537977124
2019-06-22,23.586815435034477
2019-06-23,26.539667709372377
2019-06-24,29.148758221951063
2019-06-25,32.01003047260321
2019-06-26,36.04234388138207
2019-06-27,31.302232478091224
2019-06-28,29.421519357649
2019-06-29,28.82524234578424
2019-06-30,24.054683622466236
2019-07-01,20.8503477235911
2019-07-02,18.17385518075068
2019-07-03,17.135237562741246
2019-07-04,14.055010315526246
2019-07-05,12.000184217497708
2019-07-06,10.330291778718829
2019-07-07,10.704606267778127
2019-07-08,11.69970470348819
2019-07-09,11.980533973361943
2019-07-10,10.002642120262278
2019-07-11,6.062810956965174
2019-07-12,3.738764658186101
2019-07-13,1.2007068363887143
2019-07-14,-4.902967288658863
2019-07-15,-9.276742720606915
2019-07-16,-15.176188210832382
2019-07-17,-18.296877192061103
2019-07-18,-19.058531886518562
2019-07-19,-20.01696845127644
2019-07-20,-19.94041624766426
2019-07-21,-20.12714867742722
2019-07-22,-20.851848616512594
2019-07-23,-21.782506205987012
2019-07-24,-22.057841593641196
2019-07-25,-21.989354845582497
2019-07-26,-21.930882913842193
2019-07-27,-22.82822117156505
2019-07-28,-23.101734176473997
2019-07-29,-23.320636283558827
2019-07-30,-23.568621447049292
2019-07-31,-22.646644832657078
2019-08-01,-21.941417565347002
2019-08-02,-21.3287099946702
2019-08-03,-20.09270845994678
2019-08-04,-19.001413833869854
2019-08-05,-16.193225735544974
2019-08-06,-14.803871997129914
2019-08-07,-13.578947193653542
2019-08-08,-13.250719443777568
2019-08-09,-14.35340528008218
2019-08-10,-15.758305398071942
2019-08-11,-15.209113386698554
2019-08-12,-15.410353044973162
2019-08-13,-15.927782796551664
2019-08-14,-19.316534440896685
2019-08-15,-21.60783739095774
2019-08-16,-23.81801611023603
2019-08-17,-25.554438430974628
2019-08-18,-25.13704144466357
2019-08-19,-23.01929875940913
2019-08-20,-22.16703101081606
2019-08-21,-22.741005264751394
2019-08-22,-22.289114633167657
2019-08-23,-21.23862504246987
2019-08-24,-20.847800319679546
2019-08-25,-21.133725963574296
2019-08-26,-20.926646103411727
2019-08-27,-20.955026884830385
2019-08-28,-22.904431692248984
2019-08-29,-25.07204327051976
2019-08-30,-26.91920002314181
2019-08-31,-27.570473775990166
2019-09-01,-28.222515446981667
2019-09-02,-27.09240922036446
