time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr,ETH_Trends,RSI_14,ROC_14,MFI_14,TSI_13_25_13,TSIs_13_25_13
2017-05-24,eth,102757.0,2.9782333,17632797416.27002,28.838264067044502,17.46544911,191.87466892051398,91897474.09323001,187293.0,1009581677.8197765,22.553153070644697,88.0,89.17718658089754,117.91713179894852,94.02495195243552,58.912327754025505,42.17431970649814
2017-05-25,eth,97544.0,2.72686103,16610284632.592613,28.961093724345197,17.65122091,180.691296002338,91926312.99948001,183010.0,941027519.4588813,22.698567773568502,100.0,80.89330189278098,104.77292569560673,75.35792542075981,59.575735451483155,44.660236241496
2017-05-26,eth,91512.0,2.44872441,15136127804.44107,29.026495881294398,15.35875027,164.60314556692,91955276.74948001,169818.0,985505170.8739245,22.8716704864288,62.0,70.71634205172464,92.55191517683393,66.35235558148993,55.9078590433037,46.267039498897105
2017-05-27,eth,79409.0,2.20084862,14324313066.28557,29.8042873009992,23.90109334,155.72604947107,91984052.21823001,149450.0,599316226.4088391,22.974025860562897,58.0,65.79748419721997,76.3936030077168,55.94597408990421,51.215550321793096,46.97396961645368
2017-05-28,eth,80003.0,2.40222101,15938169821.377003,29.614513403162398,29.37909891,173.21673445002898,92012875.49948001,155271.0,542500294.8467317,23.0575006457967,44.0,70.19629533369661,93.58150560881519,59.884760930221894,49.1112317642641,47.279292780426594
2017-05-29,eth,85386.0,2.59217897,17845287968.455704,31.493043335408803,30.8804864,193.88114041350102,92042412.84323001,158547.0,577882347.3825663,23.158706241245103,47.0,74.38742665977165,113.40467679589949,63.23168311393317,49.05765077032122,47.53334392184011
2017-05-30,eth,108206.0,2.85497762,20999255279.175438,33.1594360005532,22.44871936,228.073706624196,92072232.21823001,193618.0,935432215.0658705,23.287111987842998,69.0,79.51952054167717,158.4162358669436,71.03819210235773,51.21659571726775,48.05952274975835
2017-05-31,eth,117434.0,2.70237309,21100578887.462093,32.5617190682694,12.90760834,229.10265164640597,92100980.65573001,214126.0,1634739630.4401574,23.524867989458198,75.0,79.65165486044964,163.84570545228158,75.76767773312467,52.782612152067856,48.73424980723113
2017-06-01,eth,110181.0,2.58211219,20359256567.176735,34.257680473207,16.19189869,220.98628565458802,92129050.03073001,199160.0,1257373020.386896,23.698987597932895,32.0,75.513070829886,130.58933068009364,69.22474644062319,52.484430857701575,49.26998995729834
2017-06-02,eth,102330.0,2.55890678,20409491045.92159,33.8343752731406,20.35231087,221.467074215663,92155870.65573001,194911.0,1002809517.435941,23.8751023468715,26.0,75.5939676302322,77.73074369298925,64.87941153020779,52.28660309044052,49.70093469060436
2017-06-03,eth,92861.0,2.4887259999999998,20677417162.417854,34.685202122572896,22.05568654,224.307389632379,92183397.06198001,175666.0,937509568.1230856,24.0345617923561,25.0,76.09637716775046,79.99196736678924,61.481419265310315,52.28718008262445,50.070398318035814
2017-06-04,eth,97988.0,2.66229595,22634823373.32974,35.6960277621075,26.10920603,245.468700092928,92210629.56198001,180136.0,866928827.4842005,24.1764995738133,28.0,79.4847967802028,66.15837758037864,63.058820304714715,53.41249278027587,50.5478403840701
2017-06-05,eth,103393.0,2.61094785,22880332723.281765,36.4315779017722,19.11971537,248.05642671127998,92238419.40573001,190305.0,1196687935.7116568,24.3581174064014,31.0,79.86075294148725,61.458428316860974,61.39304463607878,54.4165077601826,51.10050715208617
2017-06-06,eth,109053.0,2.71681563,24395495592.35082,37.11206929165439,16.27914968,264.40423556224397,92265903.15573001,200523.0,1498573087.32152,24.5727876921711,41.0,82.09330987405373,56.381503651165644,62.99545859499442,56.014163838736465,51.80245810732193
2017-06-07,eth,110230.0,2.59532406,23717801492.078793,38.3549266392263,19.5219561,256.98187622559897,92293673.93698001,207180.0,1214929557.8521116,24.758248246781804,36.0,77.8723640271822,33.93215356220696,58.049732619665505,55.99540315200154,52.40145025656188
2017-06-08,eth,101337.0,2.5744985000000002,23853314872.766407,38.6235048042064,22.72182487,258.372808144944,92321305.18698001,187700.0,1049797496.825402,24.899743531149603,32.0,78.09961323598645,42.99128616665677,64.31807909884728,56.04755138492384,52.92232184632789
2017-06-09,eth,112166.0,2.70400914,25712626057.846107,38.6270756239062,22.48848217,278.428987158387,92348955.18698001,215831.0,1143368674.7630057,25.0654292035142,30.0,81.11181821913105,69.15168066772495,70.4046058966499,57.04635500735321,53.51146944076007
2017-06-10,eth,115271.0,3.14319546,31865669019.006218,40.8867371557105,25.45521379,344.951987142022,92377113.93698001,213356.0,1251832700.3806415,25.1776616271807,43.0,87.33436354398424,121.51206449638048,81.02469173361204,60.691142054879855,54.53713695706289
2017-06-11,eth,135899.0,3.0453661,31789820604.675053,41.4588290170215,23.38270893,344.02690999415495,92405040.65573001,240490.0,1359543956.4026318,25.301405185639,51.0,86.90560134097821,98.61066604589683,83.19164491232584,63.1454635248996,55.76689789532528
2017-06-12,eth,158263.0,2.87986851,35974398245.71188,40.9973777508649,11.23393821,389.19372150789,92433141.28073001,292941.0,3202296252.99902,25.582184724961,78.0,89.59226707884335,100.73830836657713,87.33604310315245,66.43521669692616,57.29094343841112
2017-06-13,eth,154634.0,2.74276157,35805826216.91826,42.3961091499764,14.68446458,387.25153943834,92461417.37448001,280054.0,2438347413.2740655,25.803916743662896,63.0,88.7490354075168,69.79227687846812,88.3037245699513,68.50660165267836,58.89318032616358
2017-06-14,eth,139341.0,2.40212873,31580292272.30779,43.688391418423606,20.26570455,341.446636869375,92489686.12448001,250410.0,1558312083.0136814,25.9343516327955,62.0,71.62685804441874,49.036527694301526,78.33505284266053,63.528243386591065,59.55533219193894
2017-06-15,eth,142301.0,2.38115654,31652157507.491936,44.7344469116241,16.87375185,342.119337795441,92517884.87448001,261617.0,1875822151.7076797,26.1481619016457,64.0,71.71317067742919,54.814737386097185,68.25358281688705,59.9473869446744,59.61134001375829
2017-06-16,eth,129910.0,2.42925179,32634561412.356644,45.54052164973129,18.61522069,352.62973230011704,92546255.81198001,248003.0,1753111711.9285152,26.3259770843748,44.0,73.09054961348647,59.22445065433466,71.89626710462015,57.60130504787517,59.32419216148928
2017-06-17,eth,127728.0,2.4689192,34070886368.25832,46.556929452466896,33.21574395,368.03726914436004,92574554.87448001,242022.0,1025745092.9048271,26.346027773142602,37.0,75.01146749833758,64.07719324251521,74.78560360619834,56.329173176605394,58.89633230650586
2017-06-18,eth,133592.0,2.33834468,32460592792.360966,47.653304013450295,31.0868593,350.53446308649904,92603142.37448001,245957.0,1044190166.5120901,26.389251249609103,35.0,68.98685053870682,42.802101837747934,75.47833792433963,53.26608148762414,58.092010760951325
2017-06-19,eth,152181.0,2.35658689,33132659536.761166,47.87968934829479,30.31336578,357.681361649328,92631775.34323001,286209.0,1093004972.7705927,26.486629696585396,37.0,70.04480870781053,44.19354756957925,71.81618043475143,51.15645432427385,57.10121698428311
2017-06-20,eth,159337.0,2.26420573,32364580144.03474,48.6974037065674,12.83392949,349.288913500877,92658480.96823001,308488.0,2521798188.737505,26.611455478135,42.0,67.1480535798351,32.104129405540554,66.61772395522895,48.54269529700304,55.878571028957396
2017-06-21,eth,133149.0,2.08023256,29684836623.544067,49.574364720306995,22.33194055,320.277859038574,92684635.49948001,221289.0,1329254686.1690128,26.567333734801604,57.0,58.18946260562768,24.630524044197127,62.915586615953046,43.279416352038915,54.078691789397624
2017-06-22,eth,168978.0,2.01706748,29681106426.52633,49.935370891583396,18.47100125,320.145963176505,92711168.78073001,284225.0,1606902951.8719783,26.632728378165304,54.0,58.15147697249331,23.908535683409468,59.45356435730376,39.14635616306116,51.94550098563526
2017-06-23,eth,158543.0,2.0408777,30231565534.944958,49.8872800846871,19.400559299999998,325.991536277031,92737271.28073001,276012.0,1558283195.1556802,26.720222310888,47.0,59.41595408320082,17.08247032899186,59.74636632527186,36.11548127535197,49.68406959845194
2017-06-24,eth,146929.0,1.9071929,28271513589.108784,50.79523165763639,25.20400808,304.76892781122103,92763766.28073001,250570.0,1121707051.7097943,26.8232849389319,33.0,53.138332811067826,-11.648884722689536,54.46076383170524,31.51385175863059,47.088324192763174
2017-06-25,eth,138239.0,1.7465263,25632568474.44664,51.5888400188367,30.96121699,276.242345104617,92790149.40573001,231135.0,827892795.1878103,26.850096800147,43.0,46.08932411925819,-19.703274052221552,48.046163401120346,25.09705681037761,43.946714566708096
2017-06-26,eth,175036.0,1.64846512,23671397769.29368,53.1058343331414,13.46050153,255.033414298656,92816848.46823001,316788.0,1758582153.6500945,26.955773803624503,58.0,41.664094795066006,-34.47134416491717,33.45320221289505,18.170352950363537,40.26437719294458
2017-06-27,eth,142785.0,1.80907247,26096609912.156036,53.86579275653909,22.52965762,281.08192129398,92843430.81198001,252995.0,1158322525.5509508,27.0759133567064,51.0,48.237621218595216,-27.416190081089365,22.433633681031193,14.400924896739614,36.56959829348673
2017-06-28,eth,150010.0,2.01409612,29511903471.04903,54.5797242674629,30.31991987,317.77625840035097,92870070.34323001,274241.0,973350312.1068816,27.1691599487564,46.0,55.79445864031515,-6.932380030464169,32.70022028273359,13.770278156892664,33.312552559687575
2017-06-29,eth,144689.0,1.81499129,27311676299.608803,56.027704594170295,20.75141384,293.999290413793,92897082.37448001,263791.0,1316135686.58777,27.2721285584938,35.0,50.63592022175629,-14.065281340635538,34.931117495034776,11.444950513818927,30.188609410277767
2017-06-30,eth,145470.0,1.73695905,25725702342.555565,56.6527986497013,28.5409115,276.846878461718,92923938.62448001,252652.0,901362324.7893455,27.3675608956176,29.0,47.242614899966746,-21.490772585761878,28.20303760896564,8.414912023854983,27.07808121221737
2017-07-01,eth,130618.0,1.63686371,24280501298.55772,57.5448092799848,18.83745953,261.219362042665,92950618.62448001,240465.0,1288947761.6562288,27.460200439066,27.0,44.327933021666695,-29.023665823309976,22.08254581881332,4.993798083798508,23.92318362244325
2017-07-02,eth,128992.0,1.80154229,26641098333.99035,58.4100280485684,22.5235232,286.533256667446,92977334.09323001,248617.0,1182812213.794168,27.529135789577197,27.0,49.73741570270004,-18.258178056307106,21.729188060573353,3.937232167783801,21.06804770034904
