Date,S&P_Close,S&P_Daily_Ret,DJI_Close,DJI_Daily_Ret,NDX_Close,NDX_Daily_Ret,ETH_Close,ETH_Daily_Ret,BTC_Close,BTC_Daily_Ret
2018-08-08,2857.7,-0.0,25583.75,-0.0,7469.55,0.0,356.61,-0.06,6305.8,-0.07
2018-08-09,2853.58,-0.0,25509.23,-0.0,7466.96,-0.0,365.59,0.03,6568.23,0.04
2018-08-10,2833.28,-0.01,25313.14,-0.01,7408.3,-0.01,334.18,-0.09,6184.71,-0.06
2018-08-11,2833.28,0.0,25313.14,0.0,7408.3,0.0,322.11,-0.04,6295.73,0.02
2018-08-12,2833.28,0.0,25313.14,0.0,7408.3,0.0,319.57,-0.01,6322.69,0.0
2018-08-13,2821.93,-0.0,25187.7,-0.0,7401.17,-0.0,286.49,-0.1,6297.57,-0.0
2018-08-14,2839.96,0.01,25299.92,0.0,7447.17,0.01,278.93,-0.03,6199.71,-0.02
2018-08-15,2818.37,-0.01,25162.41,-0.01,7354.66,-0.01,282.36,0.01,6308.52,0.02
2018-08-16,2840.69,0.01,25558.73,0.02,7374.29,0.0,288.05,0.02,6334.73,0.0
2018-08-17,2850.13,0.0,25669.32,0.0,7377.54,0.0,315.73,0.1,6580.63,0.04
2018-08-18,2850.13,0.0,25669.32,0.0,7377.54,0.0,295.81,-0.06,6423.76,-0.02
2018-08-19,2850.13,0.0,25669.32,0.0,7377.54,0.0,300.83,0.02,6506.07,0.01
2018-08-20,2857.05,0.0,25758.69,0.0,7371.42,-0.0,274.32,-0.09,6308.53,-0.03
2018-08-21,2862.96,0.0,25822.29,0.0,7397.23,0.0,281.94,0.03,6488.76,0.03
2018-08-22,2861.82,-0.0,25733.6,-0.0,7424.6,0.0,271.34,-0.04,6376.71,-0.02
2018-08-23,2856.98,-0.0,25656.98,-0.0,7413.84,-0.0,277.1,0.02,6534.88,0.02
2018-08-24,2874.69,0.01,25790.35,0.01,7485.4,0.01,282.97,0.02,6719.96,0.03
2018-08-25,2874.69,0.0,25790.35,0.0,7485.4,0.0,279.65,-0.01,6763.19,0.01
2018-08-26,2874.69,0.0,25790.35,0.0,7485.4,0.0,275.2,-0.02,6707.26,-0.01
2018-08-27,2896.74,0.01,26049.64,0.01,7559.13,0.01,285.6,0.04,6884.64,0.03
2018-08-28,2897.52,0.0,26064.02,0.0,7570.25,0.0,296.5,0.04,7096.28,0.03
2018-08-29,2914.04,0.01,26124.57,0.0,7660.18,0.01,289.31,-0.02,7047.16,-0.01
2018-08-30,2901.13,-0.0,25986.92,-0.01,7642.67,-0.0,284.11,-0.02,6978.23,-0.01
2018-08-31,2901.52,0.0,25964.82,-0.0,7654.55,0.0,283.0,-0.0,7037.58,0.01
2018-09-01,2901.52,0.0,25964.82,0.0,7654.55,0.0,295.34,0.04,7193.25,0.02
2018-09-02,2901.52,0.0,25964.82,0.0,7654.55,0.0,294.37,-0.0,7272.72,0.01
2018-09-03,2901.52,0.0,25964.82,0.0,7654.55,0.0,289.26,-0.02,7260.06,-0.0
2018-09-04,2896.72,-0.0,25952.48,-0.0,7622.32,-0.0,285.72,-0.01,7361.66,0.01
2018-09-05,2888.6,-0.0,25974.99,0.0,7523.26,-0.01,232.33,-0.19,6792.83,-0.08
2018-09-06,2878.05,-0.0,25995.87,0.0,7453.17,-0.01,230.21,-0.01,6529.17,-0.04
2018-09-07,2871.68,-0.0,25916.54,-0.0,7430.26,-0.0,217.2,-0.06,6467.07,-0.01
2018-09-08,2871.68,0.0,25916.54,0.0,7430.26,0.0,197.95,-0.09,6225.98,-0.04
2018-09-09,2871.68,0.0,25916.54,0.0,7430.26,0.0,196.92,-0.01,6300.86,0.01
2018-09-10,2877.13,0.0,25857.07,-0.0,7447.68,0.0,197.08,0.0,6329.7,0.0
2018-09-11,2887.89,0.0,25971.06,0.0,7507.87,0.01,185.07,-0.06,6321.2,-0.0
2018-09-12,2888.92,0.0,25998.92,0.0,7488.06,-0.0,183.33,-0.01,6351.8,0.0
2018-09-13,2904.18,0.01,26145.99,0.01,7561.69,0.01,211.35,0.15,6517.31,0.03
2018-09-14,2904.98,0.0,26154.67,0.0,7545.5,-0.0,211.75,0.0,6512.71,-0.0
2018-09-15,2904.98,0.0,26154.67,0.0,7545.5,0.0,223.07,0.05,6543.2,0.0
2018-09-16,2904.98,0.0,26154.67,0.0,7545.5,0.0,220.59,-0.01,6517.18,-0.0
2018-09-17,2888.8,-0.01,26062.12,-0.0,7434.73,-0.01,197.88,-0.1,6281.2,-0.04
2018-09-18,2904.31,0.01,26246.96,0.01,7494.4,0.01,209.98,0.06,6371.3,0.01
2018-09-19,2907.95,0.0,26405.76,0.01,7490.32,-0.0,209.97,-0.0,6398.54,0.0
2018-09-20,2930.75,0.01,26656.98,0.01,7569.03,0.01,224.59,0.07,6519.67,0.02
