time,TSI_13_25_13,TSIs_13_25_13
2013-08-05,13.969829785083032,4.998854611145701
2013-08-06,15.182761435199106,6.45369844315333
2013-08-07,15.83674575223985,7.794133773022833
2013-08-08,14.62319307143084,8.769713672795405
2013-08-09,12.476045535411053,9.29918965316907
2013-08-10,11.105415012246073,9.557221847322928
2013-08-11,10.474199297040172,9.688218625853963
2013-08-12,10.580603533689507,9.815702184116184
2013-08-13,11.931324262486994,10.117933909597728
2013-08-14,13.781436961687021,10.641291488467626
2013-08-15,14.566600982270645,11.202049987582344
2013-08-16,15.316981198802083,11.789897303470878
2013-08-17,16.690400549596866,12.489969195774592
2013-08-18,17.471821375574557,13.201662364317444
2013-08-19,20.149333572601513,14.19418682264374
2013-08-20,23.23789155642359,15.48614464175515
2013-08-21,28.864648636649946,17.397359498168694
2013-08-22,32.029820885159346,19.487711124881645
2013-08-23,32.88979328717414,21.40229429092343
2013-08-24,34.06281065351794,23.21093948557979
2013-08-25,36.69545190550165,25.137298402711487
2013-08-26,37.89063069310397,26.959203015624702
2013-08-27,40.88815764295225,28.949053676671497
2013-08-28,43.33412766749676,31.004064246789394
2013-08-29,45.39397185220182,33.059765333276886
2013-08-30,48.83981770375371,35.314058529059295
2013-08-31,52.39031070030279,37.75352312495123
2013-09-01,55.599149873988466,40.302898374813694
2013-09-02,57.244132698071645,42.72307470670769
2013-09-03,58.208653305979134,44.93530022088933
2013-09-04,53.528005503321594,46.16282954695109
2013-09-05,49.825144847035965,46.68601744696322
2013-09-06,43.59516388532631,46.24446693815795
2013-09-07,39.37009047146195,45.26241315720138
2013-09-08,34.90097954324521,43.78220835520764
2013-09-09,32.44350164801543,42.16239311132304
2013-09-10,30.83784635232353,40.54460071718026
2013-09-11,31.193262445694,39.208695249825084
2013-09-12,31.27821916131519,38.07577009432367
2013-09-13,31.551891120769632,37.143787383815955
2013-09-14,29.841910675630146,36.100662139789414
2013-09-15,28.721686916484938,35.046522822174495
2013-09-16,28.209833272366595,34.06985288648765
2013-09-17,28.0401029060897,33.20846003214509
2013-09-18,27.902287447421894,32.45043537718464
2013-09-19,25.97659859775654,31.525601551552054
2013-09-20,23.55564302629697,30.38703604794419
2013-09-21,21.801701960374622,29.160559749719965
2013-09-22,20.081196708209266,27.86350788664701
2013-09-23,18.456280718205832,26.519618291155414
2013-09-24,17.536939649791584,25.2363784852463
2013-09-25,16.625062761097233,24.006190524653576
2013-09-26,16.42113612559478,22.922611324788036
2013-09-27,17.301652377428653,22.11961718945098
2013-09-28,18.14716145816833,21.55212351355346
2013-09-29,19.041164013466616,21.193415013541056
2013-09-30,18.920217712765556,20.8686725420017
2013-10-01,19.714003819451147,20.703719867351623
2013-10-02,1.9873137815280368,18.029947569376827
2013-10-03,-1.1488264890646254,15.290122703885192
2013-10-04,-0.858220842583667,12.98321648296107
2013-10-05,-0.9112473398461087,10.998293079702902
2013-10-06,-0.48000533954613955,9.358536162667326
2013-10-07,0.4272221380390826,8.082634159149006
2013-10-08,1.4532737958920718,7.13558267868373
2013-10-09,2.7035096434017865,6.502429387929166
2013-10-10,3.9854829536074776,6.142865611597497
2013-10-11,5.224137986084165,6.011618807952736
2013-10-12,6.462019448924826,6.075961756663035
2013-10-13,9.23064247915876,6.526630431305282
2013-10-14,12.540619895759741,7.385771783370205
2013-10-15,17.343577430493692,8.80831544724499
2013-10-16,19.547398353019542,10.342470148069927
2013-10-17,22.97055185687553,12.146481820756442
2013-10-18,28.179802937488557,14.436956266003886
2013-10-19,35.218967064582294,17.40581495151509
2013-10-20,40.37334784877833,20.686891079695556
2013-10-21,46.601781220751825,24.389018242703596
2013-10-22,52.58063327015258,28.41639181805345
2013-10-23,58.50011751762694,32.714066917992525
2013-10-24,58.37391722449208,36.37975981892104
2013-10-25,54.971479457071226,39.03571976722821
2013-10-26,50.535361144779465,40.67852567830696
2013-10-27,48.957446374912784,41.86122863496494
2013-10-28,48.00882424543439,42.739456579317725
2013-10-29,48.15057281476512,43.51247318438164
2013-10-30,46.39723074152587,43.92458140683082
2013-10-31,45.62110674811458,44.16694216987136
2013-11-01,44.95698071302745,44.27980481889366
2013-11-02,44.61456443419102,44.327627621078996
2013-11-03,44.91263533302938,44.411200151357626
2013-11-04,47.019935200324205,44.783876586924286
2013-11-05,50.00054658053757,45.52911515744047
2013-11-06,53.8366892452986,46.71591145570592
2013-11-07,58.50322096074471,48.39981281356861
2013-11-08,64.1837530142556,50.65466141366675
2013-11-09,67.36833595442758,53.04232920520401
2013-11-10,68.87155568475136,55.30364727371078
2013-11-11,70.53386112439595,57.479392109522955
2013-11-12,72.16300971383025,59.57705176728115
2013-11-13,74.55660431697856,61.71698784580935
2013-11-14,76.82239382098616,63.87490298512033
2013-11-15,76.97731995244096,65.7466768375947
2013-11-16,77.68907973955805,67.45273439501804
2013-11-17,79.16858122751019,69.12642679965978
2013-11-18,82.74272203090575,71.07161183269493
2013-11-19,72.20531738802735,71.233569769171
2013-11-20,66.89535415839501,70.6138246819173
2013-11-21,65.66825686526172,69.90731499382365
2013-11-22,66.07881732077679,69.36038675481696
2013-11-23,66.73429704482788,68.98523108196137
2013-11-24,65.60714116044919,68.50264680745964
2013-11-25,64.91103201611318,67.98955898012443
2013-11-26,65.51547436477763,67.63611832078918
2013-11-27,66.4365292448844,67.46474845280278
2013-11-28,67.54405557458367,67.47607804162863
2013-11-29,69.43741574032336,67.75626914144216
2013-11-30,70.38965699711214,68.13246740653787
2013-12-01,64.36599983547467,67.5944006106717
2013-12-02,60.71723929859233,66.61194899466037
2013-12-03,58.16235091937247,65.40486355533352
2013-12-04,57.03501227822697,64.20917051574688
2013-12-05,52.47548933414549,62.532930346946685
2013-12-06,42.77624175728025,59.710546262708625
2013-12-07,32.58234556019778,55.8350890194928
2013-12-08,26.34038142330908,51.62155936289513
2013-12-09,23.325163462634052,47.57921709142926
2013-12-10,22.19956454222114,43.953552441542385
2013-12-11,19.316979705111958,40.43404205062376
2013-12-12,17.111847882988105,37.102300026675806
2013-12-13,15.480480544962344,34.013468672145315
2013-12-14,13.694260024326205,31.11072457959973
2013-12-15,12.416626676355273,28.440139164850525
2013-12-16,7.98662926629141,25.518209179342083
2013-12-17,4.577540841240314,22.52668513104183
2013-12-18,-0.7386316597899868,19.20306844663729
2013-12-19,-2.2597645945754015,16.13694944074976
2013-12-20,-4.6974323457546285,13.160609185534849
2013-12-21,-6.620694796784836,10.334708616632037
2013-12-22,-7.843055482726624,7.737885173866515
2013-12-23,-8.102545803262723,5.474966462848053
2013-12-24,-8.417732130618626,3.490295235209957
2013-12-25,-8.194858919986391,1.8209874987533359
2013-12-26,-6.747302850922153,0.5969460202282664
2013-12-27,-5.987693328654954,-0.34371674389790785
2013-12-28,-5.4674201630334,-1.075674375202978
2013-12-29,-4.821353689976479,-1.6107714201706211
2013-12-30,-4.115589090735832,-1.9686025159656513
2013-12-31,-3.627507787570926,-2.2055889833378335
2014-01-01,-2.7475440742375565,-2.283011139180651
2014-01-02,-1.3195944510910267,-2.1453801837392765
2014-01-03,0.36866461818029084,-1.7862309263221956
2014-01-04,2.2685534230671216,-1.206976019266579
2014-01-05,5.478177277059416,-0.2519541197914371
2014-01-06,8.414147310579443,0.9860603702615457
2014-01-07,8.032879192175054,1.992748773392047
2014-01-08,8.098959286655152,2.865064561001062
2014-01-09,8.387126926624704,3.653930613233011
2014-01-10,9.1166846338799,4.434324044753995
2014-01-11,10.539657332393821,5.306514514416827
2014-01-12,10.463711509996708,6.043256942356811
2014-01-13,9.765992453138256,6.575076301039875
2014-01-14,8.97074466446679,6.917314638672291
2014-01-15,8.945882218268153,7.207110007185986
2014-01-16,8.164859529477441,7.3439313675133375
2014-01-17,6.812275391107981,7.267980513741144
2014-01-18,6.147502619546427,7.1079122431419
2014-01-19,6.394402376202442,7.00598226215055
2014-01-20,6.289783970283191,6.903668220455213
2014-01-21,6.032258834696699,6.779181165346855
2014-01-22,5.646704008993237,6.6173987144391955
2014-01-23,5.029956869412211,6.390621308006769
2014-01-24,3.4084294201500147,5.964593895455804
2014-01-25,2.8583417263761675,5.5208435855872855
2014-01-26,2.760750555512659,5.1265445812909105
2014-01-27,-0.08600748626675031,4.38189428592553
2014-01-28,-0.5777710821662791,3.673370661912415
2014-01-29,-0.8487620303846682,3.027351705869975
2014-01-30,-0.8323371813056262,2.4759675791306033
2014-01-31,-0.6690941934771684,2.026673040186636
2014-02-01,-0.1264412391390378,1.719085285997254
2014-02-02,0.3817409637087992,1.5280360970989035
2014-02-03,0.48583258203340535,1.3791498806609754
2014-02-04,0.2623700967589764,1.2196099115321184
2014-02-05,-0.6527775749130917,0.9521259848970883
2014-02-06,-2.414632510038716,0.4711604856205449
2014-02-07,-6.307069715448933,-0.49715811453223757
2014-02-08,-10.954539060917991,-1.9910696783016308
2014-02-09,-14.143577851524414,-3.7271422744763143
2014-02-10,-16.811911708468152,-5.596395050760863
2014-02-11,-19.564079793643113,-7.591778585458329
2014-02-12,-22.562225717866287,-9.730413890088037
2014-02-13,-26.602452818382428,-12.140705165558664
2014-02-14,-26.185885833791268,-14.147159546734752
2014-02-15,-26.397022331229635,-15.897139944519736
2014-02-16,-27.696307195332853,-17.582735266064468
2014-02-17,-28.200529724158507,-19.099563045792188
2014-02-18,-28.747285934581022,-20.477809172762022
2014-02-19,-29.324547461699208,-21.741628928324477
2014-02-20,-31.908717217037214,-23.194070112426296
2014-02-21,-32.83850980599051,-24.5718472115069
2014-02-22,-31.792423490132396,-25.6033581084534
2014-02-23,-30.7682117484995,-26.3411943427457
2014-02-24,-32.28131956567418,-27.18978366030691
2014-02-25,-33.731505855941954,-28.12431540254049
2014-02-26,-31.396694572480705,-28.59179814110338
2014-02-27,-29.67092701543233,-28.745959408864657
2014-02-28,-29.457516926866916,-28.84761048286498
2014-03-01,-28.3059884761799,-28.770235910481397
2014-03-02,-27.700008221642634,-28.61734624064729
2014-03-03,-20.443002738569717,-27.44958288320764
2014-03-04,-15.120993712542225,-25.688355858826867
2014-03-05,-11.187200891225352,-23.616762292026653
2014-03-06,-8.18975017622723,-21.412903418341024
2014-03-07,-7.261737539278739,-19.3913082927607
2014-03-08,-6.944222712068334,-17.61315320980465
2014-03-09,-5.785337941917703,-15.923465314392232
2014-03-10,-5.377800555554384,-14.416941777415397
2014-03-11,-4.777615721124817,-13.039895197945315
2014-03-12,-4.237709648447794,-11.782440119445669
